"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.311800001E-2,-1.355245113E0,-6.287711263E-1,-3.995290697E-1,1.546501188E0
3.312100004E-2,-1.342768669E0,-5.362065434E-1,-3.970113099E-1,1.499387587E0
4.312400008E-2,-1.149625540E0,-4.255759418E-1,-4.051664174E-1,1.291090078E0
5.312700011E-2,-8.434383869E-1,-3.003330231E-1,-3.669990301E-1,9.676138307E-1
6.312999991E-2,-5.282072425E-1,-2.925837636E-1,-3.002415597E-1,6.743538714E-1
7.313299994E-2,-2.084769905E-1,-2.733644843E-1,-1.631724834E-1,3.805470486E-1
8.313499996E-2,1.385709792E-1,-1.172648817E-1,-1.855579615E-1,2.595856811E-1
9.313800000E-2,4.380575120E-1,-1.068223938E-1,-2.239762992E-1,5.034588268E-1
1.031410000E-1,5.793123841E-1,-2.190296203E-1,-2.041996568E-1,6.521305949E-1
1.131440001E-1,5.572875142E-1,-3.537425399E-1,-1.631990522E-1,6.799537401E-1
1.231470001E-1,4.522665441E-1,-4.893853366E-1,-1.225096956E-1,6.775335122E-1
1.331499999E-1,3.027757108E-1,-5.922634006E-1,-1.058363467E-1,6.735357444E-1
1.431529999E-1,1.252914816E-1,-6.047049165E-1,-1.133485958E-1,6.278645519E-1
1.531549999E-1,-5.851629376E-2,-5.741667747E-1,-1.496657282E-1,5.962310559E-1
1.631580000E-1,-2.208045423E-1,-5.010619760E-1,-2.162463516E-1,5.887106541E-1
1.731610000E-1,-3.416306973E-1,-3.745204508E-1,-2.913572788E-1,5.846932233E-1
1.831640000E-1,-4.135578871E-1,-2.190070003E-1,-3.464479446E-1,5.822545582E-1
1.931670001E-1,-4.949518442E-1,-2.177883834E-1,-3.306951821E-1,6.338520423E-1
2.031700001E-1,-5.483195186E-1,-1.202514470E-1,-3.382087648E-1,6.553623986E-1
2.131729999E-1,-5.099713206E-1,-6.476283818E-2,-3.843169808E-1,6.418446189E-1
2.231749999E-1,-4.002265036E-1,-4.907362908E-2,-3.810034990E-1,5.547550284E-1
2.331780000E-1,-2.494380474E-1,6.155608967E-2,-3.685892820E-1,4.492956159E-1
2.431810000E-1,-9.656194597E-2,1.762752235E-1,-3.440336287E-1,3.984423440E-1
2.531840000E-1,4.675114527E-3,2.362062633E-1,-2.994726300E-1,3.814434580E-1
2.631870001E-1,4.203686863E-2,2.282641828E-1,-2.425187975E-1,3.356888479E-1
2.731900001E-1,3.632413596E-2,1.889628470E-1,-1.979300082E-1,2.760483446E-1
2.831929999E-1,7.981708273E-3,1.426547319E-1,-1.718299538E-1,2.234717280E-1
2.931949999E-1,-2.531722374E-2,8.197571337E-2,-1.572429091E-1,1.791265247E-1
3.031980000E-1,-6.720528752E-2,3.711875528E-2,-1.520481557E-1,1.703320120E-1
3.132010000E-1,-1.105070189E-1,4.721459933E-3,-1.377270967E-1,1.766432749E-1
3.232040000E-1,-1.704931259E-1,-1.692204922E-2,-1.214208230E-1,2.099935190E-1
3.332070000E-1,-2.318616807E-1,-1.918387227E-2,-1.020303443E-1,2.540434040E-1
3.432100001E-1,-2.871336937E-1,-1.943364367E-2,-7.681091130E-2,2.978646348E-1
3.532130001E-1,-3.933438361E-1,-1.294080466E-1,-2.669836394E-2,4.149441150E-1
3.632149999E-1,-5.083106756E-1,-2.129372954E-1,4.645547271E-2,5.530643233E-1
3.732179999E-1,-5.584617853E-1,-3.171258271E-1,1.047856063E-1,6.507137459E-1
3.832210000E-1,-5.275267363E-1,-3.987146914E-1,1.384910941E-1,6.756016916E-1
3.932240000E-1,-4.420177341E-1,-4.326514900E-1,1.492770761E-1,6.362787396E-1
4.032270000E-1,-3.149220943E-1,-4.272873700E-1,1.481332481E-1,5.510842778E-1
4.132300001E-1,-1.620070189E-1,-4.123108387E-1,1.546448469E-1,4.692137366E-1
4.232330001E-1,1.009924058E-2,-3.417373300E-1,1.448324323E-1,3.712988430E-1
4.332349999E-1,1.659994870E-1,-2.106823623E-1,1.226331443E-1,2.949267291E-1
4.432379999E-1,2.937206924E-1,-6.822215021E-2,1.022591591E-1,3.184070391E-1
4.532410000E-1,3.812568784E-1,4.927150905E-2,9.734793752E-2,3.965616092E-1
4.632440000E-1,4.289908409E-1,1.273237020E-1,9.942413867E-2,4.583989813E-1
4.732470000E-1,4.219071269E-1,1.361967176E-1,1.266943067E-1,4.610928507E-1
